full_name,short_name,system,state,accepts_email,email,website,had_encampment,has_sjp,sjp_name,chancellor_name,has_police,police_chief,term,has_undergraduate,is_system
University of Cincinnati,UC,,Ohio,TRUE,public.records@uc.edu,,TRUE,,,,,,Semester,TRUE,FALSE
Ohio University,Ohio University,,Ohio,TRUE,legalaffairs@ohio.edu,,TRUE,,,,,,Semester,TRUE,FALSE
Kent State University,Kent State,,Ohio,TRUE,publicrecords@kent.edu,,TRUE,,,,,,Semester,TRUE,FALSE
Ohio State University,OSU,,Ohio,TRUE,publicrecords@osu.edu,,TRUE,,,,,,Semester,TRUE,FALSE
University of Oklahoma,OU,,Oklahoma,FALSE,,https://universityofoklahoma.nextrequest.com/requests/new,TRUE,,,,,,Semester,TRUE,FALSE
Oklahoma State University,Ok State,,Oklahoma,FALSE,,https://openrecords.okstate.edu/index.php/module/Default/action/ContactInfo,TRUE,,,,,,Semester,TRUE,FALSE
University of South Carolina,USC,,South Carolina,FALSE,,https://universityofsouthcarolina.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87deb,TRUE,,,,,,Semester,TRUE,FALSE
Clemson University,Clemson,,South Carolina,TRUE,foia@clemson.edu,,TRUE,,,,,,Semester,TRUE,FALSE
University of Tennessee,UT,,Tennessee,FALSE,,https://universityoftennessee.justfoia.com/publicportal/home/newrequest,TRUE,,,,,,Semester,TRUE,FALSE
University of Utah,,,Utah,FALSE,,https://universityofutah.govqa.us/WEBAPP/_rs/(S(efonhr01qsv4ci0cbodvk5rj))/SupportHome.aspx?sSessionID=&lp=2,TRUE,,,,,,Semester,TRUE,FALSE
Utah State University,Utah State,,Utah,FALSE,,https://highq.usu.edu/usulegal/renderSmartForm.action?formId=353b9ecd-cf24-4aab-a741-127fe947bf20,TRUE,,,,,,Semester,TRUE,FALSE
University of Vermont,,,Vermont,TRUE,public.records@uvm.edu,,TRUE,,,,,,Semester,TRUE,FALSE
Vermont State University System,VSU,,Vermont,TRUE,Patty.Turley@vsc.edu,,TRUE,,,,,,Semester,TRUE,FALSE
University of Virginia,UVA,,Virginia,TRUE,foia@virginia.edu,https://universityofvirginia.mycusthelp.com/WEBAPP/_rs/(S(siaedxoq10grsqm1jt5oskgp))/supporthome.aspx,TRUE,,,,,,Semester,TRUE,FALSE
Virginia Tech,,,Virginia,TRUE,foia@vt.edu,https://virginiatech.nextrequest.com/,TRUE,,,,,,Semester,TRUE,FALSE
Virginia Commonwealth University,VCU,,Virginia,FALSE,,https://vcu.nextrequest.com/requests/new,TRUE,,,,,,Semester,TRUE,FALSE
Christopher Newport University,CNU,,Virginia,TRUE,tkramer@cnu.edu,,TRUE,,,,,,Semester,TRUE,FALSE
James Madison University,JMU,,Virginia,FALSE,,https://jamesmadisonuniversity.nextrequest.com/requests/new,TRUE,,,,,,Semester,TRUE,FALSE
Old Dominion University,Old Dominion,,Virginia,TRUE,foia@odu.edu,,TRUE,,,,,,Semester,TRUE,FALSE
University of Wisconsin System,UW,University of Wisconsin,Wisconsin,TRUE,uwsarecords@wisconsin.edu,,TRUE,,,,,,Semester,TRUE,FALSE
"University of Wisconsin, Madison",UW Madison,University of Wisconsin,Wisconsin,FALSE,,https://wiscedu.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87deb,TRUE,,,,,,,FALSE,TRUE
"University of Wisconsin, Milwaukee",UW Milwaukee,University of Wisconsin,Wisconsin,TRUE,public-records@uwm.edu,,TRUE,,,,,,Semester,TRUE,FALSE
"University of Wisconsin, Green Bay",UW Green Bay,University of Wisconsin,Wisconsin,,maines@uwgb.edu,,TRUE,,,,,,Semester,TRUE,FALSE
"University of Wisconsin, Stevens Point",UW Stevens Point,University of Wisconsin,Wisconsin,,bcasselb@uwsp.edu,,TRUE,,,,,,Semester,TRUE,FALSE
"University of Wisconsin, Whitewater",UW Whitewater,University of Wisconsin,Wisconsin,,motszkoj@uww.edu,,TRUE,,,,,,Semester,TRUE,FALSE
"University of Wisconsin, La Crosse",UW La Crosse,University of Wisconsin,Wisconsin,,publicrecords@uwlax.edu,,TRUE,,,,,,Semester,TRUE,FALSE
"University of Wisconsin, Eau Claire",UW Eau Claire,University of Wisconsin,Wisconsin,,beersj@uwec.edu,,TRUE,,,,,,Semester,TRUE,FALSE
University of Delaware,UD,,Delaware,TRUE,FOIA-email@udel.edu,,TRUE,,,,,,Semester,TRUE,FALSE
University of Montana,UM,,Montana,FALSE,,https://forms.office.com/Pages/ResponsePage.aspx?id=5XxAaNoD_0mvCnJL4NN8nXXseCtvPDBImGs4qn1TNlRUMFk4RkpNMTQ5TkI3M0JMWklKWURFR0xOSiQlQCN0PWcu,TRUE,,,,,,Semester,TRUE,FALSE
"University of Nebraska, Lincoln",UNL,,Nebraska,TRUE,mollymccleery@nebraska.edu,,TRUE,,,,,,Semester,TRUE,FALSE
University of Wyoming,UW,,Wyoming,FALSE,,https://universityofwyoming.nextrequest.com/requests/new,TRUE,,,,,,Semester,TRUE,FALSE
West Virginia University,WVU,,West Virginia,TRUE,foia@mail.wvu.edu,,TRUE,,,,,,Semester,TRUE,FALSE
